subject,word,affricate,rhyme,context,repetition,VOT,intensity,F1,clo_voi,aff_voi
es,jar,dZ,ar,stop,2,0.068,60.2,514,none,none
es,jar,dZ,ar,vowel,1,0.068,64.9,604.93,full,none
es,jar,dZ,ar,stop,1,0.073,67.45,583.51,none,none
es,jar,dZ,ar,vowel,2,0.087,64.8,502,part,none
es,jeer,dZ,eer,vowel,2,0.076,64,350,part,none
es,jeer,dZ,eer,stop,1,0.086,67.16,329.03,none,none
es,jeer,dZ,eer,vowel,1,0.094,64.58,342.7,full,none
es,jeer,dZ,eer,stop,2,0.096,68.9,363,part,none
es,jest,dZ,est,vowel,1,0.068,65.98,548.76,full,none
es,jest,dZ,est,stop,2,0.07,63.7,521,none,none
es,jest,dZ,est,vowel,2,0.084,62.8,422,part,none
es,jest,dZ,est,stop,1,0.101,63.64,546.04,none,full
es,joke,dZ,oke,stop,2,0.063,68.9,434,none,none
es,joke,dZ,oke,vowel,2,0.079,66.8,440,part,none
es,joke,dZ,oke,vowel,1,0.087,67.8,546.71,full,none
es,joke,dZ,oke,stop,1,0.095,68.46,504.41,full,none
es,junk,dZ,unk,vowel,2,0.072,68.7,525,part,none
es,junk,dZ,unk,stop,2,0.081,69.1,523,part,none
es,junk,dZ,unk,vowel,1,0.098,64.13,679.43,full,none
es,junk,dZ,unk,stop,1,0.123,64.43,524.93,full,full
gh,chain,tS,ain,vowel,2,0.108,73.64,470,none,none
gh,chain,tS,ain,vowel,1,0.11,70.3,518,none,part
gh,chain,tS,ain,stop,2,0.11,72.04,464,none,none
gh,chain,tS,ain,stop,1,0.111,70.11,495,none,none
gh,char,tS,ar,vowel,2,0.09,73.53,613,none,none
gh,char,tS,ar,stop,2,0.109,68.88,633,none,none
gh,char,tS,ar,stop,1,0.117,69.15,632,none,part
gh,char,tS,ar,vowel,1,0.123,69.91,703,none,part
gh,cheer,tS,eer,stop,1,0.126,69.77,398,none,none
gh,cheer,tS,eer,vowel,2,0.126,71.29,375,none,none
gh,cheer,tS,eer,vowel,1,0.136,70.01,399,none,none
gh,cheer,tS,eer,stop,2,0.144,71.7,364,none,none
gh,chest,tS,est,stop,2,0.085,71.11,586,none,none
gh,chest,tS,est,vowel,1,0.097,69.74,634,none,none
gh,chest,tS,est,vowel,2,0.1,71.29,647,none,part
gh,chest,tS,est,stop,1,0.111,68.58,640,none,none
gh,chin,tS,in,vowel,2,0.11,72.14,439,none,none
gh,chin,tS,in,vowel,1,0.116,72.08,433,none,part
gh,chin,tS,in,stop,1,0.121,69.54,446,none,none
gh,chin,tS,in,stop,2,0.126,72.23,434,none,none
gh,choke,tS,oke,stop,2,0.097,71.49,419,none,none
gh,choke,tS,oke,stop,1,0.098,70,526,none,none
gh,choke,tS,oke,vowel,1,0.099,70.75,534,none,none
gh,choke,tS,oke,vowel,2,0.107,71.67,504,none,none
gh,chunk,tS,unk,vowel,2,0.093,68.93,714,none,part
gh,chunk,tS,unk,stop,2,0.097,70.93,687,none,none
gh,chunk,tS,unk,stop,1,0.105,71.79,671,none,part
gh,chunk,tS,unk,vowel,1,0.125,68.89,659,none,none
gh,gin,dZ,in,stop,1,0.055,71.27,480,none,none
gh,gin,dZ,in,vowel,1,0.06,69.51,427,none,none
gh,gin,dZ,in,vowel,2,0.062,68.13,411,none,none
gh,gin,dZ,in,stop,2,0.078,68.74,427,none,none
gh,jane,dZ,ain,vowel,2,0.049,66.65,429,none,none
gh,jane,dZ,ain,stop,1,0.054,65.38,426,none,none
gh,jane,dZ,ain,stop,2,0.06,68.14,412,none,none
gh,jane,dZ,ain,vowel,1,0.078,67.41,402,none,none
gh,jar,dZ,ar,vowel,2,0.045,67.94,442,none,none
gh,jar,dZ,ar,stop,1,0.054,67.96,505,none,none
gh,jar,dZ,ar,vowel,1,0.058,67.98,490,none,none
gh,jar,dZ,ar,stop,2,0.058,65.17,505,none,none
gh,jeer,dZ,eer,vowel,2,0.061,68.39,364,none,none
gh,jeer,dZ,eer,stop,2,0.072,69.2,371,none,none
gh,jeer,dZ,eer,vowel,1,0.074,65.01,400,none,none
gh,jeer,dZ,eer,stop,1,0.08,67.01,389,none,none
gh,jest,dZ,est,stop,2,0.035,70.29,475,none,none
gh,jest,dZ,est,vowel,2,0.039,68.98,446,none,none
gh,jest,dZ,est,vowel,1,0.049,66.28,478,none,none
gh,jest,dZ,est,stop,1,0.066,69.81,491,none,none
gh,joke,dZ,oke,vowel,2,0.044,68.88,452,none,none
gh,joke,dZ,oke,stop,1,0.051,67.04,463,none,none
gh,joke,dZ,oke,stop,2,0.055,67.56,399,none,none
gh,joke,dZ,oke,vowel,1,0.068,68.12,473,none,none
gh,junk,dZ,unk,stop,2,0.045,66.84,465,none,none
gh,junk,dZ,unk,vowel,2,0.05,67.82,462,none,none
gh,junk,dZ,unk,vowel,1,0.055,66.2,465,none,none
gh,junk,dZ,unk,stop,1,0.059,67.39,488,none,none
je,chain,tS,ain,stop,1,0.108,61.65,409,none,none
je,chain,tS,ain,vowel,1,0.118,62.07,442,none,none
je,chain,tS,ain,stop,2,0.119,60.69,443,none,none
je,chain,tS,ain,vowel,2,0.142,60.86,487,none,none
je,char,tS,ar,stop,1,0.111,59.43,638,none,none
je,char,tS,ar,vowel,1,0.129,61.98,548,none,none
je,char,tS,ar,vowel,2,0.131,63.09,708,none,none
je,char,tS,ar,stop,2,0.15,58.05,599,none,none
je,cheer,tS,eer,stop,1,0.102,57.77,318,none,none
je,cheer,tS,eer,vowel,1,0.115,62.47,358,none,none
je,cheer,tS,eer,vowel,2,0.122,63.53,364,none,none
je,cheer,tS,eer,stop,2,0.123,62.72,357,none,none
je,chest,tS,est,stop,1,0.108,60.93,592,none,none
je,chest,tS,est,stop,2,0.112,60.28,628,none,none
je,chest,tS,est,vowel,1,0.146,59.39,678,none,none
je,chest,tS,est,vowel,2,0.147,62.77,640,none,none
je,chin,tS,in,stop,1,0.106,60.27,427,none,none
je,chin,tS,in,stop,2,0.114,61.27,401,none,none
je,chin,tS,in,vowel,1,0.118,61.61,430,none,none
je,chin,tS,in,vowel,2,0.126,59.55,459,none,none
je,choke,tS,oke,stop,1,0.096,56.3,494,none,none
je,choke,tS,oke,stop,2,0.103,60.4,487,none,none
je,choke,tS,oke,vowel,1,0.134,59.19,518,none,none
je,choke,tS,oke,vowel,2,0.136,61.38,597,none,none
je,chunk,tS,unk,stop,1,0.109,59.69,540,none,none
je,chunk,tS,unk,vowel,1,0.119,63.86,602,none,none
je,chunk,tS,unk,vowel,2,0.121,60.88,686,none,none
je,chunk,tS,unk,stop,2,0.158,59.07,609,none,none
je,gin,dZ,in,stop,2,0.042,57.89,400,none,none
je,gin,dZ,in,stop,1,0.048,64.44,420,none,none
je,gin,dZ,in,vowel,2,0.051,63.69,426,none,none
je,gin,dZ,in,vowel,1,0.053,69.09,415,none,none
je,jane,dZ,ain,vowel,1,0.049,63.55,410,none,none
je,jane,dZ,ain,stop,1,0.054,60.71,402,none,none
je,jane,dZ,ain,stop,2,0.056,61.78,400,none,none
je,jane,dZ,ain,vowel,2,0.059,62.15,416,none,none
je,jar,dZ,ar,stop,2,0.043,59.84,482,none,none
je,jar,dZ,ar,vowel,1,0.044,59.55,477,none,none
je,jar,dZ,ar,stop,1,0.059,65.3,511,none,none
je,jar,dZ,ar,vowel,2,0.067,64.06,516,none,none
je,jeer,dZ,eer,vowel,2,0.048,63.78,369,none,none
je,jeer,dZ,eer,vowel,1,0.053,58.21,341,none,none
je,jeer,dZ,eer,stop,2,0.054,63.46,361,none,none
je,jeer,dZ,eer,stop,1,0.064,61.9,363,none,none
je,jest,dZ,est,stop,1,0.05,62.45,464,none,none
je,jest,dZ,est,vowel,1,0.056,69.16,469,none,none
je,jest,dZ,est,vowel,2,0.056,63.01,526,none,none
je,jest,dZ,est,stop,2,0.058,61.93,459,none,none
je,joke,dZ,oke,stop,1,0.044,61.22,454,none,none
je,joke,dZ,oke,stop,2,0.051,59.97,459,none,none
je,joke,dZ,oke,vowel,2,0.054,61.7,435,none,none
je,joke,dZ,oke,vowel,1,0.062,61.51,449,none,none
je,junk,dZ,unk,vowel,1,0.044,62.37,483,none,none
je,junk,dZ,unk,vowel,2,0.05,60.02,510,none,none
je,junk,dZ,unk,stop,2,0.054,64.38,484,none,none
je,junk,dZ,unk,stop,1,0.056,63.64,473,none,none
mm,chain,tS,ain,stop,1,0.09,63.5,334,none,none
mm,chain,tS,ain,stop,2,0.095,62.6,346,none,none
mm,chain,tS,ain,vowel,2,0.098,64.5,312,none,none
mm,chain,tS,ain,vowel,1,0.103,67.3,381,none,none
mm,char,tS,ar,stop,1,0.072,62.7,385,none,none
mm,char,tS,ar,stop,2,0.081,60.5,329,none,none
mm,char,tS,ar,vowel,2,0.089,63.8,312,none,none
mm,char,tS,ar,vowel,1,0.095,64.4,381,none,none
mm,cheer,tS,eer,stop,1,0.086,65.6,355,none,none
mm,cheer,tS,eer,vowel,2,0.091,64.7,415,none,none
mm,cheer,tS,eer,stop,2,0.093,61.6,329,none,none
mm,cheer,tS,eer,vowel,1,0.1,66.3,381,none,none
mm,chest,tS,est,vowel,2,0.075,63.4,346,none,none
mm,chest,tS,est,stop,1,0.081,62.2,355,none,none
